id_bem,identifica,co_iphan,no_logrado,nu_logrado,id_naturez,ds_naturez,codigo_iph,id_classif,ds_classif,id_tipo_be,ds_tipo_be,sg_tipo_be,sintese_be,dt_cadastr
11830,Enseada,TO1703701BAST00001,Fazenda Mandala,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12029,Fortaleza,TO1707553BAST00001,Fazenda Fortaleza,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12042,Dona Santina,TO1708254BAST00001,Fazenda Santa Rita,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12187,Das Viúvas,TO1713205BAST00004,Fazenda Bom Jesus/Fazenda Santa Marta,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12185,Nova Olinda,TO1713205BAST00002,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12186,Santa Luzia,TO1713205BAST00003,Faz. Sítio Novo,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12190,Reis,TO1713205BAST00007,Fazenda Santo Antônio,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12191,São Jorge,TO1713205BAST00008,Fazenda Retiro,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12192,Sítio Suçuapara,TO1713205BAST00009,Fazendas: Suçuapara e Lagoa dos Patos,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12210,Seu Nego,TO1715002BAST00001,Fazenda São João,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12211,Divino,TO1715002BAST00002,Fazenda Sítio Novo,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12212,São Bento,TO1715002BAST00003,Fazenda São Bento,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12213,Bruno,TO1715002BAST00004,Chácara Campo Alegre,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12215,Perdizes I,TO1715002BAST00006,Chácaras Sonho meu e Beija flor,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12216,Perdizes II,TO1715002BAST00007,Fazenda União,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12217,PEBA,TO1715002BAST00008,Faz. Asa Norte,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12427,Pedra da Onça,TO1718709BAST00007,Fazenda Pedra da Onça,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12398,Presidente Kennedy 1,TO1718402BAST00001,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
